id,text,context,stance_label,impact_label
train_15,"The same can be said about national states. They bring an ""one size fits all"" national identity for smaller societal groups, for example from different provinces or towns.","['Europeans, defined as citizens of what today constitutes the European Union (EU), had a better quality of life in the 1990s, than in the 1890s.', ""Legal and political developments brought significant improvements of Europeans' quality of life."", 'Institutions were created that improved through their actions the quality of life for Europeans.', 'The development of the EU which started in the middle of the 20th century brought many benefits for Europeans which improved their quality of life.', 'The EU actively destroys the national identities of Europe, by trying to force an ""one size fits all"" European identity over everybody.']","['NULL', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_16,"If a person experiences gender dysphoria when living as or being read as their assigned gender, there is no harm (or less harm) in them exploring alternate gender identities, rather than suffering through dysphoric feelings.","['Undergoing sex reassignment surgery constitutes the most effective and ethical method for transgender individuals to achieve self-acceptance and lasting happiness.', 'Transgender people may make the decision to undergo surgery with imperfect information, thus without a complete understanding of what impact this will have on their lives.']","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_17,"Most homeopathic remedies are well established so cannot be patented. This means there's little commercial interest in trialling or producing them, so public funding is necessary to build up evidence and maintain quality.",['Public health care systems should cover the costs of homeopathic treatment.'],"['NULL', 'SUPPORT']",NOT_IMPACTFUL
train_18,Condoleezza Rice was being invited to be a commencement speaker. That format does not provide a forum to hold her accountable or engage in any meaningful conversation.,"['Social justice movements should abandon the use of no-platforming at universities', 'It is difficult to draw a clear line showing at which point an individual or organisation has proven to be too offensive to be allowed a platform to speak. This makes it very difficult to create an effective no-platforming policy that is not arbitrary.', ""No-platforming can happen solely because the speaker's views contradict the views of some students, in matters where different yet non-discriminatory views abound."", 'Condoleezza Rice refused to be a speaker after students protested her suitability due to her involvement in the Iraq war.', 'The students missed an opportunity to hold her accountable and have a productive discourse about war, government actions and veracity.']","['NULL', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_19,"Health should never be seen as a commodity. Deciding whether one can live or not, purely on his income is a crime against humanity.","['Health care should be considered a human right.', 'Health care should remain a privilege, not a right.']","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_20,Hogwarts is more dangerous than a Muggle boarding school.,"['Would we like to live in the world of Harry Potter?', 'The magical education system is inadequate.', 'Hogwarts, the only British wizarding school, has many structural and security problems.']","['NULL', 'OPPOSE', 'SUPPORT', 'OPPOSE']",MEDIUM_IMPACT
train_21,"The map leads to the original Jedi Temple. While it certainly is known as the map ""to Luke Skywalker"", it can be inferred that the map wasn't of his making, but rather was the map that the characters knew he used.","['""The Last Jedi"" is one of the weakest Star Wars movies so far.', 'The Last Jedi has numerous issues with its plot.', 'Numerous decisions of characters are hard to comprehend.', 'Luke Skywalker went into exile with the decision to die there, as he explains. Yet, for whatever reason, he left a map that would guide friend or foe to his location.']","['NULL', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_22,"However, consensus-building elements of electoral processes in democracies would make this very difficult.","['Democracies should not use referendums for policy decisions.', 'Referendums can lead to a tyranny of the majority.', 'Any democracy can lead to a tyranny of the majority - if people wanted to they could vote into power a political party that would oppress minorities without a referendum.']","['NULL', 'SUPPORT', 'OPPOSE', 'OPPOSE']",MEDIUM_IMPACT
train_23,"Exchange plays a crucial role in the human society, whilst it is not as integral in an animal's society.",['Humans are fundamentally different from other animals.'],"['NULL', 'SUPPORT']",NOT_IMPACTFUL
train_24,"Man can not enable liberties, only disable liberties. Disabling liberties is done for the sake of 'safety/surety' - not for the sake of freedom.","['Hate speech should be legally protected', 'According to the paradox of tolerance, enabling certain liberties may have an overall negative impact over freedom.']","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_25,"A new age space race (to Mars), propelled by the spirit of competition, could lead to major scientific breakthroughs; in the past, competition has been known to lead way to increased productivity, efficiency, and development.","['Humanity should colonize Mars.', 'Mars would lead to an explosion of scientific development. The results would lead to longer lives, more fulfillment, and more jobs.']","['NULL', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_26,Unconditional aid can still strengthen incentives for democratization.,"['Democracies should only provide official development assistance (ODA) to democratic countries.', 'By making development assistance conditional on democratization, donor states run the risk of losing out on a potential source of influence over recipient states to protect important strategic interests.', ""As democracies have a strong natural interest in the international system's democratization, making democracy a condition for their support is a direct way to achieve this goal."", 'Conditional development assistance works as an incentive for further democratization.', 'Unconditional development aid strengthens non-democratic regimes, reducing the incentives for democratisation.']","['NULL', 'OPPOSE', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'OPPOSE']",MEDIUM_IMPACT
train_27,"Organisations that do public good (which should be judged without regard to religious considerations) are desirable to the state and often ultimately a benefit to the public purse, and should be encouraged and supported by the state. The most practical way to achieve this is via tax exemption.","['Churches should lose their automatic tax-exempt status.', 'Organizations generally – charitable or not – should never be tax exempt.']","['NULL', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_28,"In light of Roma and Sinti, not much has changed since 1890.","['Europeans, defined as citizens of what today constitutes the European Union (EU), had a better quality of life in the 1990s, than in the 1890s.', ""Legal and political developments brought significant improvements of Europeans' quality of life."", ""Legal developments led to a more equal society and thus profited Europeans' life."", 'The live of minorities improved legally, socially, politically and health wise.', 'Respect for the rights of persons belonging to minorities is one of the values of the EU.']","['NULL', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'OPPOSE']",MEDIUM_IMPACT
train_29,"The impact of his 'zero-tolerance' policy, with increased levels of familial separation and unacceptable human rights abuses, is very clear.","['Donald Trump is a good President', 'He has certainly not shown good judgement and/or the managerial ability to build and maintain a stable administrative team around him, which is a negative reflection of him as a President.', 'The results he has achieved thus far, considered by many to be quite impressive, suggest that the relatively high turnover in his administrative team is not an important metric and should not reflect negatively on his Presidency.', ""Trump's foreign policy achievements demonstrate he is a good President."", 'A lot of the results of these have yet to be seen. Meanwhile, his immigration policies have caused human rights abuses. He has recently reversed his zero-tolerance policy.\n\nwww.justice.gov', ""Trump's attempts to reduce both legal and illegal immigration appears inhumane, and clearly racially motivated, to the degree that it is liable to have a damaging impact on America's future.""]","['NULL', 'OPPOSE', 'OPPOSE', 'SUPPORT', 'OPPOSE', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_30,Characters like Holdo felt incredibly forced as the film attempted to portray her as a voice of reason but only succeeded in making her look like a fool for not relaying the plans to the lower ranking officers. An existing character in Admiral Ackbar could easily have done everything she did.,"['""The Last Jedi"" is one of the weakest Star Wars movies so far.', 'The progressive cultural themes (and adult level of drama) used to be secondary to a mythology/fairytale for the whole family, but The Last Jedi just threw away that fairytale heart.', 'The movie sacrificed its narrative and charm for a story line that goes too far in its attempts to appeal to real-world discourses about gender.']","['NULL', 'SUPPORT', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_31,The death penalty is often applied in an arbitrary (discriminatory; inconsistent) manner.,['Capital punishment should be abolished in the United States.'],"['NULL', 'SUPPORT']",IMPACTFUL
train_32,Genetically modified crops contribute to reducing the cost of food.,['The sale of genetically modified food should be banned.'],"['NULL', 'OPPOSE']",IMPACTFUL
train_33,Duties that require individual sacrifice for the greater good are well-established.,"['All participants for drug trials that involve humans in the US should be chosen randomly from those in the population who meet the required characteristics of the study.', 'Forcing people to take drugs is a violation of human rights and civil liberties.', 'Humans have not only rights, but also duties. The mandatory participation in medical trials that benefit the whole society should be one of these duties.']","['NULL', 'OPPOSE', 'OPPOSE', 'SUPPORT']",MEDIUM_IMPACT
train_34,"Given the social stigma attached to some mental health issues such as depression or bipolar disorder, people might prefer to buy relevant medication anonymously to avoid social repercussions.","['Cryptocurrencies, such as Bitcoin and others, are beneficial for the world.', 'Cryptocurrencies enhance privacy for market transactions.', 'Cryptocurrencies allow for the purchase of items or services that are not forbidden, but are perhaps embarrassing or confidential.']","['NULL', 'SUPPORT', 'SUPPORT', 'SUPPORT']",NOT_IMPACTFUL
train_35,Men are naturally more powerful than women.,"['Gender (the concept of masculinity and femininity) is a social construct.', 'The hierarchical structure of gender is upheld in order to maintain social control.']","['NULL', 'SUPPORT', 'SUPPORT']",NOT_IMPACTFUL
train_36,"If men are to be held accountable for child-rearing, it is only logical that they are held accountable/have a say about an unborn child as well - otherwise they would have the right to refuse child support if a woman decides to have child against the father's will.",['Men should be able to vote in the abortion debate.'],"['NULL', 'SUPPORT']",IMPACTFUL
train_37,This will result in the wealth gap between the rich and the poor to keep increasing: if the rich get more lobbying power it would be possible for the rich to drive legislation that promotes their economic status at the cost of lower classes.,['Those who pay more tax should have an increased number of votes.'],"['NULL', 'OPPOSE']",IMPACTFUL
train_38,Earth is a planet. There is ample evidence that life exists on Earth. There is evidence that other planets are similar to Earth. There is no evidence that Earth is unique.,"['Alien life has existed or does exist.', 'Humans have not discovered any evidence supporting the existence of aliens.']","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_39,"Many scientific results also come from subjective observations but through a process of peer review they attain an 'almost objective' status that allows further research of the topic to build on 'proven' hypotheses etc. Claiming that something cannot be 'objective' because of a subjective sourcing is therefore not a valid argument. Most of our science today is built on rather subjective sources, that doesn't mean it is not 'more or less' objective (peer-reviewed, consensus reached).","['Morality is objective.', 'Morality derives from subjective sources, and thus can never be objective.']","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_40,"Homosexuality was also recognized as a mental disorder until it was removed in 1973, and it has been shown that it is a a healthy variation of human sexual orientation.","['Gender (the concept of masculinity and femininity) is a social construct.', ""According to three main monotheistic religions' scriptures, God created the man and the woman as different and complementary."", 'Catholic people believe men and women in a heterosexual marriage are the normal and natural sexual relationship and basis for the family, rooted in God’s plan for creation.', 'Gender roles are natural. Gender theory is just a dangerous invention that denies the ""order of creation”.', ""A person's feeling that they are a different gender than they were assigned at birth is a sign of Gender Dysphoria, a recognized mental disorder.""]","['NULL', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_41,Increasing use of ad-block technology pushes internet companies and others to find ways to improve user experience.,"['It is unethical to use ad-blockers.', 'Advertising creates harmful incentives for web publishers. Running blockers will help push them to adopt better business models.']","['NULL', 'OPPOSE', 'SUPPORT']",MEDIUM_IMPACT
train_42,"There is no functional moral difference between an income tax and a consumption tax. For all the 'immorality' of taxing someone's income, making someone's necessary consumption more expensive has the same moral culpability. They are simply different sides of the same coin.","['Implementation of the FairTax will improve the current US taxation system in a variety of ways, such as strengthening the Gross Domestic Product by improving Net Trade, Savings, Personal Consumption and Government Expenses. More details on Wikipedia.', 'Taxing is immoral, and there will be less of it under the FairTax.']","['NULL', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_43,The goals of the protest are wrong.,['NFL players should be forced to stand during the National Anthem.'],"['NULL', 'OPPOSE']",NOT_IMPACTFUL
train_44,Almost a third of all internet usage is spent on social media and thus platforms that are both ad-supported and do not have viable alternatives due to network effects.,"['It is unethical to use ad-blockers.', 'Advertising is psychologically damaging. Given this, it is perfectly moral to take whatever steps are necessary  to minimise its impact.', 'This is an argument against advertising in general, it is not specifically related to the use of ad blockers. The use of ad blockers may be unethical despite advertising being psychologically damaging.', 'There are means of avoiding ads online that are ethical.', 'Users can always go to alternate publications that do not present ads or abstain from browsing altogether.']","['NULL', 'SUPPORT', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_45,"The threat of a single bomber making it through air defenses, dropping a single bomb and achieving what otherwise would have required hundreds of bomber sorties, is an improvement of a nation's military by several orders of magnitude. The showcase of the improved U.S. military capabilities did alter Japan's leadership's perception of the threat.","['The U.S. had to use nuclear weapons to achieve its goal of Japan unconditionally surrendering.', ""The nuclear bombing was unnecessary because it did not alter the Japanese leadership's perception of the threat that America was posing to them.""]","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_46,"Focusing only on rehabilitation can lead to excessive and arbitrarily long ""treatments.""","['The primary focus of prisons should be rehabilitation and reintegration, not punishment.']","['NULL', 'OPPOSE']",NOT_IMPACTFUL
train_47,"Bulls are tortured in the fight as well as during the pre-fight treatment, which tortures the bull for days before the fight in order to weaken it.","['Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them (for example, Spanish bullfighting in a ring or bull-running)- should be banned.', 'Bullfighting is part of the history and the culture in countries such as Spain or India. Culture should be preserved.', 'Cultural components change, as cultural transformation is a natural dynamic process.', 'Cultural transformation is an organic process that occurs from individual choices and beliefs. It should not be the role of government to dictate culture.', 'If a cultural practice constitutes a threat to humans or animals, the government needs to intervene and prohibit it.', 'Bullfighting is cruel.', 'The bulls suffer severe stress, and ultimately end up dying a slow and torturous death.']","['NULL', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_48,"A presumption of free will is the basis for many of the pillars of modern society. Concepts such as justice, praise, and fairness are consequential at the level of human interactions and would not exist without the agreed-upon illusion of free will.","['There is no free will.', 'Lived experience and observation suggest that we have free will.', 'Feeling like free will exists does not mean that it exists; it could be an illusion.', ""Provided that illusion of free will is good and complicated enough there is no need for real free will, because this illusion could fill it's place."", ""Humans' reason to live is to have agency, react to the world and make choices. If we are not able to make choices, we may as well not live at all. As such, even if free will is an illusion, it is a necessary one.""]","['NULL', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_49,Democrats and Republicans polarize the nation.,['The United States Needs a Strong Political Party For Moderates'],"['NULL', 'SUPPORT']",IMPACTFUL
train_50,"According to the three Abrahamic religions, humans are the only intelligent species in the universe, and were created by God.",['Alien life has existed or does exist.'],"['NULL', 'OPPOSE']",NOT_IMPACTFUL
train_51,Allowing hate speech may actually contribute to exposing its inconsistencies.,"['Hate speech should be legally protected', 'Attempts to censor ""hate speech"" can in many ways actually strengthen the side of ""hate speech"" and sway public opinion/sympathy in their favor.']","['NULL', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_52,"Are we willing to claim creation imparts absolute authority? To legally declare this over conscious beings is problematic. 

For example: this certainly does not apply to children. They are given complete self determinism once they have matured.","['Fundamental rights should be extended to General AI.', 'Granting fundamental rights to AGI could make it harder to fight with it in case of a threat.', 'Not granting rights to conscious AI would be essentially recreating slavery through technological advance. Slavery is accepted to be immoral.', 'Humans made AI and therefore are supposed to be their master.']","['NULL', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_53,Female desire is taboo in pretty much every culture.,"['Gender (the concept of masculinity and femininity) is a social construct.', 'The hierarchical structure of gender is upheld in order to maintain social control.', 'Patriarchal societies have an interest in perpetuating a societal system traditionally run by men. They do this through the idea of fixed gender identities and roles.', 'There is still a notable gap in how men and women regard the gender-diversity problem.', 'Men not understanding the problem of gender diversity is different from actively perpetuating the patriarchy in order to maintain power.', 'Men experience little direct harm as a result of the current construction of gender, so they have no incentive to develop an understanding of how it harms women. This is likely to lead to them perpetuating the issues (perhaps passively rather than actively).', 'There are a number of ways that fixed gender identities and patriarchal systems actually hurt men; they are expected to be tough and unemotional, and internalising emotions can lead to them acting out violently.', 'The fact that patriarchy imposes collateral damage on men does not negate the fact that it damages women and other gender non-conforming individuals more.', ""Women are still considered men's property worldwide."", 'Women still cannot enjoy full control of their own bodies and personal functions without interference from the government.']","['NULL', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_54,"This would amount to at least one million people, which is a significant number (based on the number of people currently denied the right to vote).","['Convicted felons in the United States (that is: sentenced of a crime punishable with at least one year in prison or death) should permanently lose their voting rights.', 'Removal of voting rights for convicted felons assists in reducing the crime rate.', 'Voting disenfranchisement serves as a constant reminder for ex-felons that they committed a crime and should not do so again.', 'It is estimated that voter turnout for felons and ex-felons would range\xa0between 20% and 39%\xa0(p. 786). Thus only a minority will feel disenfranchised.']","['NULL', 'SUPPORT', 'SUPPORT', 'OPPOSE', 'SUPPORT']",IMPACTFUL
train_55,Many of these vegan/vegetarian alternatives are more processed than their meat counterparts. More processing is definitely less healthy than less.,"['All humans should be vegan.', 'People can make vegan substitutions of non-vegan consumer products. These changes can be so minimal that they are unnoticeable. That way, people will not miss out on aspects of their previous lifestyle.']","['NULL', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_56,"If North Korea's nuclear weapons make the country less anxious about its security, this could lead to inter-Korean progress, for example through negotiations of a peace treaty for the Korean War.","['The US should not try to force North Korea to abandon its nuclear program.', 'Accepting North Korea as nuclear state will make the peaceful unification of Korea more difficult.']","['NULL', 'OPPOSE', 'OPPOSE']",MEDIUM_IMPACT
train_57,"It would be unconscionable to tax religious organizations, which operate as a structure onto which religious beliefs are formalized. To tax them is akin to taxing those beliefs. Since these beliefs also do not produce anything material, it is also akin to taxing the “immaterial realm”.",['Churches should lose their automatic tax-exempt status.'],"['NULL', 'OPPOSE']",NOT_IMPACTFUL
train_58,The difficulty or ease of law enforcement has no bearing on the rectitude of a law.,"['Infant circumcision should be banned', 'A ban on circumcision will lead to more dangerous illegal circumcisions to meet the demand.', 'It would be exceptionally difficult to enforce a ban on circumcision.']","['NULL', 'OPPOSE', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_59,"Laws are already being implemented under the guise of providing more rights for marginalized groups, which actually impede on others rights, such as Bill C-16 in Canada which amends the Canadian Human Rights Act, and makes it illegal for one to ""misgender"" an individual, and imposes a discretion on ""hate speech"" which can easily be used to silence an individual who is addressing a situation from a critical position rather than a position of hate.","['Identity politics are detrimental to society.', 'Identity politics have given rights to marginalised groups throughout history.']","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_60,Drug prohibition has been used as a racist policy to mass incarcerate people of color.,['All drugs should be legalised.'],"['NULL', 'SUPPORT']",IMPACTFUL
train_61,Art is an expression of human subjectivity and perspective. Science actively attempts to remove all trace of human involvement to decrease error margins from human interpretation in order to find objective truths. In this way they are entirely opposite.,['Science is Similar to Art in the Way of Viewing the World.'],"['NULL', 'OPPOSE']",IMPACTFUL
train_62,There is no evidence that capital punishment has any deterrent effect. Claiming that corporal punishment would change that is pure speculation.,"['Executions should be painful.', 'Painful executions equal torture and are therefore not acceptable.', 'In order to accomplish retributive justice, it is only fair to cruelly execute an offender who caused suffering to others by committing a cruel crime.', 'This assumes a retributive theory of justice. But this is not a theory that should be adopted by the modern state.', 'Society is no better than a criminal if it tortures.', 'Painful punishments dehumanize the victim just like the criminal does to the victim.', 'Dehumanization, for example by depriving criminals of their freedom, is generally accepted as it can be a means to a greater end, for example society-wide deterrence.', 'Painful methods of execution will serve as a better deterrence for potential offenders than painless methods.']","['NULL', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'OPPOSE', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_63,"A study conducted on a large cohort of circumcised males showed that foreskin is important for penile sensitivity, overall sexual satisfaction, and penile functioning.","['Infant circumcision should be banned', 'Circumcision is often equated to genital mutilation.', 'The impact on sex life is far lesser than that of most types of female genital mutilation.', 'Circumcision may have a negative effect on sexual activity later in life.']","['NULL', 'SUPPORT', 'OPPOSE', 'OPPOSE', 'SUPPORT']",IMPACTFUL
train_64,Selective breeding can be beneficial for the economy.,"['Selective breeding of animals for pets (e.g. Siamese cats, pugs, etc.) should be prohibited.']","['NULL', 'OPPOSE']",NOT_IMPACTFUL
train_65,"In showcasing this work for the masses without providing any type of clarification, The Met is supporting voyeurism and the objectification of children.","[""The Metropolitan Museum of Art should remove Balthus' painting, Thérèse Dreaming.""]","['NULL', 'SUPPORT']",NOT_IMPACTFUL
train_66,Lab-grown meat is unnatural.,['Lab-Grown Meat is a suitable replacement for Factory Farming.'],"['NULL', 'OPPOSE']",NOT_IMPACTFUL
